Business Type,Industry,Years in Operation,Location,Grant Amount,Number of Trainings,Advisory Sessions,Microfinancing,Business Development Services,Success Rate (%)
Startup,Tech,12,Rural,26987,9,0,No,Yes,38.4935
Startup,Services,19,Urban,78714,4,5,No,No,54.857
Startup,Tech,7,Rural,58348,6,9,No,No,54.674
Microenterprise,Services,20,Suburban,24596,1,7,Yes,No,29.798
Individual,Tech,6,Urban,33174,8,2,Yes,No,40.587
SME,Services,1,Urban,64106,8,9,No,No,61.553
SME,Tech,17,Urban,69967,3,0,No,Yes,47.9835
Individual,Manufacturing,11,Suburban,59182,3,8,No,No,47.591
SME,Retail,18,Rural,93300,5,0,No,Yes,63.65
Individual,Tech,17,Urban,87163,9,2,No,Yes,71.5815
SME,Services,7,Suburban,39310,9,7,No,Yes,55.155
Startup,Manufacturing,17,Rural,56088,9,2,No,Yes,56.044
SME,Tech,20,Suburban,8906,5,3,No,Yes,25.953
Individual,Tech,9,Rural,36914,0,7,No,No,28.957
Individual,Manufacturing,17,Suburban,45379,8,0,Yes,No,43.6895
Individual,Tech,20,Rural,78612,1,5,No,No,48.806
Individual,Retail,8,Urban,37650,4,0,Yes,No,31.825
Individual,Tech,17,Rural,46881,8,0,Yes,Yes,51.4405
Microenterprise,Retail,7,Suburban,46413,3,7,No,No,39.7065
Microenterprise,Retail,1,Suburban,6012,2,3,No,No,11.506
SME,Manufacturing,13,Rural,50115,6,0,Yes,Yes,49.0575
Individual,Tech,19,Urban,7151,5,9,Yes,Yes,39.0755
SME,Manufacturing,19,Urban,57716,7,6,No,No,51.858
Individual,Tech,17,Rural,93747,2,4,Yes,No,61.8735
Individual,Tech,13,Rural,92653,4,4,No,Yes,67.3265
Microenterprise,Services,16,Suburban,36378,9,0,No,No,36.189
Microenterprise,Tech,8,Urban,42652,3,9,No,No,40.826
Startup,Manufacturing,19,Rural,72430,3,5,Yes,No,54.715
Microenterprise,Retail,18,Urban,13467,3,8,Yes,No,29.7335
Startup,Tech,1,Rural,31010,9,8,No,Yes,52.505
Startup,Services,14,Rural,54691,7,7,Yes,Yes,63.8455
Startup,Manufacturing,19,Urban,64157,5,4,Yes,Yes,60.0785
Startup,Tech,15,Rural,12289,2,0,Yes,No,15.1445
Startup,Manufacturing,18,Rural,44976,9,8,Yes,No,57.488
SME,Services,2,Suburban,43596,4,0,Yes,No,34.798
Microenterprise,Services,17,Rural,23171,5,7,Yes,No,37.0855
Startup,Manufacturing,18,Rural,86365,4,4,Yes,No,62.1825
Individual,Tech,6,Rural,99590,5,2,No,Yes,69.795
Microenterprise,Retail,19,Suburban,44139,7,6,Yes,No,50.0695
Microenterprise,Services,4,Urban,48713,6,6,Yes,No,50.3565
Startup,Tech,1,Suburban,29734,4,8,Yes,Yes,46.867
SME,Tech,8,Suburban,72588,9,6,Yes,No,68.294
Startup,Retail,7,Urban,63646,5,2,Yes,Yes,56.823
SME,Services,3,Suburban,3654,3,0,Yes,Yes,19.827
Individual,Services,10,Urban,89022,8,7,Yes,Yes,83.011
Microenterprise,Tech,10,Suburban,18743,3,2,Yes,Yes,30.3715
Individual,Tech,19,Urban,48368,0,7,No,Yes,41.684
SME,Retail,14,Rural,90025,6,7,Yes,No,72.5125
SME,Retail,2,Suburban,74172,6,4,Yes,Yes,67.086
Individual,Services,1,Suburban,6441,3,0,Yes,Yes,21.2205
SME,Manufacturing,18,Suburban,24611,2,9,Yes,No,34.8055
Individual,Services,7,Suburban,12149,7,6,No,No,29.0745
Microenterprise,Tech,8,Rural,59189,4,9,No,Yes,58.0945
Individual,Services,1,Suburban,21675,9,4,No,No,34.8375
Microenterprise,Manufacturing,3,Rural,71031,6,7,No,No,58.0155
Individual,Retail,8,Rural,42668,3,8,No,Yes,46.334
SME,Manufacturing,15,Rural,13673,3,6,No,Yes,28.8365
Individual,Manufacturing,5,Rural,76666,7,6,No,No,61.333
SME,Manufacturing,3,Urban,88204,7,0,No,Yes,65.102
Individual,Retail,19,Urban,80758,1,3,No,Yes,53.879
Individual,Manufacturing,1,Suburban,65429,1,1,No,No,36.2145
Startup,Manufacturing,15,Urban,23669,2,1,No,Yes,24.3345
SME,Manufacturing,8,Urban,34068,2,1,No,Yes,29.534
Startup,Tech,2,Suburban,88789,0,3,No,Yes,55.8945
SME,Manufacturing,3,Suburban,9435,2,0,No,Yes,15.7175
Startup,Retail,14,Suburban,94088,5,3,No,Yes,68.544
Microenterprise,Manufacturing,14,Urban,52249,7,1,No,No,41.6245
Individual,Manufacturing,11,Urban,37384,9,4,Yes,No,47.692
SME,Retail,16,Suburban,81929,5,2,No,Yes,60.9645
SME,Manufacturing,4,Rural,76153,4,7,Yes,No,61.5765
Individual,Retail,20,Suburban,75388,3,3,No,Yes,55.194
SME,Manufacturing,5,Rural,31401,2,0,No,Yes,26.7005
SME,Retail,14,Rural,71831,3,0,Yes,Yes,53.9155
Startup,Manufacturing,16,Suburban,34084,6,9,No,Yes,49.542
SME,Manufacturing,18,Suburban,55826,0,2,Yes,Yes,42.913
Microenterprise,Tech,7,Suburban,36451,6,8,Yes,No,47.2255
Microenterprise,Tech,10,Urban,7227,0,6,Yes,No,17.6135
Individual,Manufacturing,7,Rural,31910,1,1,No,Yes,26.455
SME,Manufacturing,1,Urban,36041,3,8,No,No,36.0205
Individual,Services,19,Urban,88920,0,9,No,Yes,64.96
